"County","Cases","Fatalities","Hospitalizations","Latest_Status_Report"
"Appling",161,13,28,"2020-06-02_21:25:37"
"Atkinson",51,2,9,"2020-06-02_21:25:37"
"Bacon",131,3,11,"2020-06-02_21:25:37"
"Baker",34,2,11,"2020-06-02_21:25:37"
"Baldwin",350,26,69,"2020-06-02_21:25:37"
"Banks",93,1,11,"2020-06-02_21:25:37"
"Barrow",328,18,78,"2020-06-02_21:25:37"
"Bartow",485,38,136,"2020-06-02_21:25:37"
"Ben Hill",77,1,9,"2020-06-02_21:25:37"
"Berrien",49,0,3,"2020-06-02_21:25:37"
"Bibb",472,29,136,"2020-06-02_21:25:37"
"Bleckley",48,0,2,"2020-06-02_21:25:37"
"Brantley",58,2,4,"2020-06-02_21:25:37"
"Brooks",70,8,10,"2020-06-02_21:25:37"
"Bryan",75,5,18,"2020-06-02_21:25:37"
"Bulloch",67,2,10,"2020-06-02_21:25:37"
"Burke",122,6,30,"2020-06-02_21:25:37"
"Butts",234,24,28,"2020-06-02_21:25:37"
"Calhoun",134,6,17,"2020-06-02_21:25:37"
"Camden",64,1,7,"2020-06-02_21:25:37"
"Candler",14,0,4,"2020-06-02_21:25:37"
"Carroll",524,24,101,"2020-06-02_21:25:37"
"Catoosa",142,0,10,"2020-06-02_21:25:37"
"Charlton",33,1,6,"2020-06-02_21:25:37"
"Chatham",518,26,112,"2020-06-02_21:25:37"
"Chattahoochee",154,0,6,"2020-06-02_21:25:37"
"Chattooga",25,2,3,"2020-06-02_21:25:37"
"Cherokee",911,33,142,"2020-06-02_21:25:37"
"Clarke",295,14,45,"2020-06-02_21:25:37"
"Clay",39,2,5,"2020-06-02_21:25:37"
"Clayton",1238,51,191,"2020-06-02_21:25:37"
"Clinch",59,2,7,"2020-06-02_21:25:37"
"Cobb",3056,183,678,"2020-06-02_21:25:37"
"Coffee",277,15,65,"2020-06-02_21:25:37"
"Colquitt",484,15,48,"2020-06-02_21:25:37"
"Columbia",251,8,36,"2020-06-02_21:25:37"
"Cook",47,2,10,"2020-06-02_21:25:37"
"Coweta",422,9,52,"2020-06-02_21:25:37"
"Crawford",28,0,4,"2020-06-02_21:25:37"
"Crisp",237,7,39,"2020-06-02_21:25:37"
"Dade",37,1,3,"2020-06-02_21:25:37"
"Dawson",109,1,18,"2020-06-02_21:25:37"
"DeKalb",3803,121,678,"2020-06-02_21:25:37"
"Decatur",204,5,21,"2020-06-02_21:25:37"
